contractAddress,reentrancy,access_control,arithmetic,time_manipulation,unchecked_low_level_calls
0x16fdaeeb975729fae923d5a4fd12aabfe228f219,0,0,1,0,1
0xcf25ec84d8dbc74254770f58904dba41ecccc3fc,1,0,0,1,0
0xe53a13043b026c48bbf33feff9243a8f506b4092,0,0,1,0,1
0x86bebb2737f6a6f0fb23c6f5da2cec255404e4fb,0,0,0,0,0
0x4f31af3176813e02ea68ef786e4d3cea27d26934,1,1,0,0,0
0x1584d8c4fa2815d2802827283e0ad84173581569,1,0,0,0,0
0xcb14028d512c9791e558e08baa7196b50ac2f867,0,1,0,1,0
0x1d4072014b3ce107f80e222f828767efc2f91624,1,0,1,0,0
0xe2e8c662248b483b7ffc050fec94dbca3a0aac36,0,1,0,0,0
0xf145fda9988c79fc35526f7eaed46725a2a7b860,1,1,0,0,1
0x210471948d33296c87009e8a7f770d9106fd287d,0,0,1,0,0
0x1604d115cea325a65e19cbae530282bd36cb9d21,0,0,0,0,0
0x073fec8df4f50947aaeb26c57d21fa5d328263df,0,0,1,0,0
0x6e7577496a2c8773e130f7eb19731662b5e803b6,1,1,0,0,0
0x168160adb59261ff2d3c425c8d99d19bdd0b6cc6,0,1,0,1,0
0x5523cf6941fa1c257c6f561c5cb347611a3ce9d9,0,0,0,0,0
0x02364f9572b85a8e48f687ab165c58ac5831be38,0,0,0,1,1
0xb14f71010b93b7d946bf54074e3248c801bef750,0,0,0,0,1
0x57513064d6d59291f0cde2e5738713a818d89620,0,0,1,0,1
0x00141212b62c376631129f34369aad80b891baf9,0,1,1,0,1
0xb3cc2d0b698d5c7e41ba4ea5ee874ae7689447ab,0,1,0,1,0
0x863386ce10cd79e048c07dd7753eda83d7c58dfe,0,1,0,0,1
0x5a0cf318656b3e6f0bade65c3b188cc102ddb837,0,0,0,0,0
0x94fb78c8d5f08b79affd2b49c12a4b0062983475,0,0,1,0,0
0x2e338d74ff1fe4f7f505aef9ebdd25b001a3ff41,0,1,0,0,0
0xf3a6a9421cc1c93016f1c4261e5351d30b49895d,0,1,0,0,0
0x1f13dce20c4fd32f640d0032634f087e51b429fe,0,0,1,0,1
0x049d7ccc7e90a88d519448fb2fc6791ce680ce2b,0,1,1,1,0
0xfb3be24a0b80316f688d3e481a65c2011bef2c32,0,0,0,0,0
0x134a069e3fab8c3bfc5e740e61572b4e3c02eaa7,1,1,0,0,1
0x3416f9386bd8773c9d51940ea4e095bd1d685457,1,1,1,0,0
0xba9f20df4875b15b0be23b7ac193fe0407275539,0,0,0,0,0
0xd1c1bac7adac1a4b7d0b352ad6074dce11188138,1,0,0,0,0
0xcc0b57aaf89691052be1ceb374dab4683f84d30d,0,0,0,0,0
0x18f99ddceb1be0273dbc46dfcea25bab29539ad5,1,0,0,1,0
0x5fed10a47b851832b6ec017c1e1777155a0e9d8f,1,0,0,1,0
0x0a4742684ee75bb6cc69f67e48eb7c64328c0490,1,0,0,0,0
0xd0e7cb3593871c15d694c1957f8db03911731a6b,0,0,1,1,0
0x578715bbd26944ff770e4b9447a3d54ec6390bf6,0,0,0,0,0
